id,title,author,text,label
21,"Quantum Physics Breakthrough: Meditation Allows Instant Teleportation of Physical Body","SpiritualAscensionPortal","Quantum mystics at a remote ashram have published definitive evidence demonstrating that focused chakra meditation decouples atomic molecular bonds, allowing yogis to physically dematerialize and reappear on the other side of the planet instantly. Western physicists are terrified that this discovery will bankrupt commercial airline conglomerates.",1
22,"Autonomous Electric Rail Freight Network Successfully Commences Operations in Scandinavia","Nordic Infrastructure Journal","The Nordic Regional Freight Authority has inaugurated the world's first fully automated battery-electric heavy rail transport corridor connecting iron ore extraction terminals with maritime deepwater ports. The zero-emission locomotive fleet incorporates redundant lidar obstacle detection and train-to-train optical communication protocols.",0
23,"SHOCKING: Eating Boiled Banana Peels Reverses Alzheimer's Disease in 7 Days","HealthMiraclesRevealed","A suppressed natural clinic in the rainforest has healed thousands of advanced dementia patients simply by administering twice-daily doses of boiled organic banana peels blended with ginger. Pharmaceutical corporations sent armed mercenaries to burn down the clinic to preserve their patent monopolies on ineffective memory medications.",1
24,"World Trade Organization Concludes Landmark Agreement on Digital Commerce Standards","Geneva Economic Dispatch","Negotiators representing 89 member states at the World Trade Organization in Geneva have finalized an open-architecture plurilateral agreement governing digital trade. The framework legally outlaws cross-border tariffs on electronic transmissions, mandates mutual recognition of electronic authentication signatures, and establishes stringent consumer privacy protections.",0
25,"Secret Antarctic Underground City Discovered Housing 500,000 Surviving Atlanteans","EsotericEarthTruth","Sub-glacial ice-penetrating radar deployed by private explorer yachts has uncovered a sprawling subterranean metropolis heated by geothermal thermal towers beneath Queen Maud Land. Declassified sonar feeds show crystalline skyscrapers and anti-gravity transport tubes inhabited by ancient Atlantean survivors who have mastered immortality.",1
26,"International Fusion Energy Consortium Achieves Sustained High-Confinement Plasma Equilibrium","Plasma Physics Journal","Scientists operating the Joint European Torus facility have demonstrated a record-breaking 69 megajoules of sustained fusion energy output over five seconds. The breakthrough validates advanced tungsten-lined divertor configurations and magnetic confinement stability parameters planned for the international ITER reactor installation.",0
27,"Government Adding Mind-Control Fluoride Gas into Vehicle Air Conditioning Systems","DeepStateResistanceNetwork","Mechanic whistleblowers reveal that automotive manufacturers are now installing pressurized gas cartridges inside cabin air filters that release odorless obedience neurotoxins whenever drivers tune their radios to independent patriotic podcasts. Tear out your cabin AC filters immediately to protect your constitutional cognitive autonomy!",1
28,"Atmospheric Research Flight Verifies Stratospheric Ozone Layer Recovery Over Polar Regions","Geophysical Research Letters","Comprehensive airborne lidar atmospheric measurements published in Geophysical Research Letters confirm that the polar stratospheric ozone layer is on a verifiable trajectory toward full historical recovery by 2045. Researchers attribute the positive environmental recovery directly to the phased global prohibition of hydrochlorofluorocarbons under the Montreal Protocol.",0
29,"Billionaires Constructing Giant Orbital Mirror to Vaporize Farm Farmland and Cause Famine","GlobalResetTruthAlert","Elite Davos forum attendees have contracted aerospace contractors to launch a 50-mile wide steerable parabolic space mirror into low earth orbit. The mirror will focus high-intensity sunlight to scorch grain belts across North America and Europe, forcing the population to consume synthetic laboratory insect paste.",1
30,"Deep Learning Transformer Model Predicts 3D Protein Folding Dynamics in Under One Millisecond","Computational Biology Briefs","Structural bioinformaticians have unveiled an open-weight deep learning transformer architecture capable of predicting de novo 3D macromolecular protein folding and binding affinity interactions in sub-millisecond compute runtimes, significantly accelerating computational drug discovery pipelines.",0
31,"Ancient Alien Nanobots Found Swimming in Bottled Sparkling Water CDC Coverup","ConspiracyUndergroundHQ","Independent microscopic analysis of luxury sparkling water brands reveals billions of dormant extraterrestrial nanomachines designed to assemble inside human stomachs. The nanobots activate upon exposure to supermarket barcode laser scanners, converting civilians into remote-controlled biological surveillance drones.",1
32,"European Central Bank Reports Decline in Eurozone Headline Inflation to 2.2 Percent","Frankfurt Financial Herald","Official statistical indices published by Eurostat and corroborated by the European Central Bank confirm that year-over-year headline inflation across the 20 eurozone member nations dropped to 2.2 percent in August. Slower energy price appreciation and normalized supply chain throughput contributed significantly to the stabilization.",0
33,"Eating Raw Garlic With Toothpaste Instantly Cures Tooth Decay and Regrows Enamel","OralHealthUnderground","Dentists hate this simple kitchen secret! Mixing three crushed cloves of raw purple garlic with fluoride-free toothpaste creates a bioactive calcium matrix that regrows hollow cavities and repairs cracked enamel within 48 hours. Never visit a greedy dental surgeon again!",1
34,"National Oceanic and Atmospheric Administration Deploys New Fleet of Hurricane Gliders","NOAA News Releases","NOAA scientists have deployed 18 autonomous underwater oceanic gliders across the Caribbean and tropical Atlantic to collect real-time temperature, salinity, and current velocity profiles at depths down to 1,000 meters. The subsurface oceanographic data directly feeds into hurricane intensity forecast models.",0
35,"SHOCKING LEAK: All World Currency Will Be Replaced by Mandatory Brain Microchip Next Month","NewWorldOrderAlert","A high-ranking insider from the World Economic Forum has leaked internal planning slides confirming that all physical banknotes and plastic debit cards will be terminated on the first of next month. Citizens who refuse a biometric RFID forehead chip will be barred from purchasing food or leaving their homes.",1
36,"Global Seismology Network Detects Deep Mantle Transition Zone Fluid Dynamics","Nature Geoscience","Geophysicists analyzing shear-wave travel time perturbations from deep-focus earthquakes have mapped extensive hydrous fluid reservoirs trapped along the 660-kilometer seismic discontinuity in Earth's mantle transition zone. The findings illuminate how global tectonic subduction circulates planetary volatile reserves over geological epochs.",0
37,"Drinking Boiled Pine Cones Grants Immune Resistance to All Nuclear Radiation","SurvivalistPrepperWire","Declassified Cold War field survival manuals confirm that boiling green pine cones in mineral oil creates an impenetrable cellular shield that renders human bone marrow completely immune to lethal ionizing nuclear gamma radiation. Stockpile pine cones today before military agents confiscate forests!",1
38,"Consortium of Automotive Manufacturers Adopts Standardized Solid-State Battery Packaging","Automotive Engineering Today","A coalition of ten international automotive manufacturers has ratified unified mechanical and thermal standards for next-generation solid-state lithium-metal battery cells. Standardized volumetric form factors will streamline factory automation, lower battery module costs, and support 15-minute fast-charging capabilities across brands.",0
39,"Alien Flying Saucer Shot Down Over Nevada Recovered by Private Tech Billionaire","UFOExpositorDaily","Eyewitness cellphone footage allegedly shows stealth fighter jets intercepting a glowing disc-shaped extraterrestrial craft over the Nevada test range. The wreckage was secretly loaded onto unmarked flatbed semi-trucks and transported to a private Silicon Valley AI research compound for reverse-engineering.",1
40,"Agricultural Researchers Engineer Drought-Tolerant Nitrogen-Fixing Cereal Crops","Crop Science Frontiers","Botanical geneticists have successfully expressed symbiotic rhizobial nodulation pathways in cereal grain varietals, enabling wheat and barley to fix atmospheric nitrogen while cutting synthetic fertilizer dependency by 40 percent. Field trials demonstrated stable yields even during extended arid drought cycles.",0
41,"Microscopic Smart Dust Sprayed by Commercial Airplanes to Alter Human DNA","ChemtrailTruthWatch","Whistleblower aircraft technicians have released maintenance logs proving that commercial airlines are mandated to install aerosol spray nozzles that release microscopic quantum smart dust into the upper troposphere. The dust settles into human lungs to alter genetic chromosomes and suppress spiritual enlightenment.",1
42,"Bank for International Settlements Outlines Framework for Cross-Border Wholesale CBDC Clearing","BIS Media Releases","The Bank for International Settlements (BIS) alongside central banks from Singapore, France, and Japan has completed Project Mariana, demonstrating that automated market maker liquidity pools and decentralized wholesale central bank digital currencies (wCBDCs) can execute cross-border foreign exchange settlements with instantaneous atomic finality.",0
43,"Rubbing Raw Onion on Wi-Fi Router Boosts Internet Speed by 500 Percent Instantly","TechHacksUncensored","Internet service providers don't want you to know this simple trick! Placing a halved red onion directly over your router's wireless antenna absorbs harmful electromagnetic static and boosts your home internet bandwidth by over 500 percent without upgrading your ISP plan.",1
44,"Geothermal Exploration Drill Hits Supercritical Rock Reservoir at 5,000 Meters","Renewable Energy Tech Review","Engineers conducting deep enhanced geothermal exploration have tapped a supercritical rock reservoir exceeding 450 degrees Celsius at a depth of five kilometers. The high-enthalpy energy fluid produces up to ten times the electrical power output of conventional hydrothermal wells, marking a new milestone in baseload clean energy.",0
45,"Secret Government Submarine Base Found Inside Mount Everest Glacier Caverns","HighAltitudeMysteries","Mountaineers equipped with thermal imaging cameras have photographed an underwater naval docking bay carved directly into the Khumbu Glacier of Mount Everest. Nuclear submarines allegedly enter through hidden underground subterranean tectonic tunnels originating in the Indian Ocean.",1
46,"Clinical Trial Evaluates Novel Dual-Action Monoclonal Antibody for Alzheimer's Pathology","New England Journal of Medicine","A Phase III randomized double-blind clinical trial published in the New England Journal of Medicine demonstrates that a novel humanized monoclonal antibody targeting both soluble amyloid-beta oligomers and phosphorylated tau fibrils produced a statistically significant 31 percent deceleration in cognitive decline among early-stage patients.",0
47,"Eating Sand Daily Cleanses Toxins and Purifies Blood stream Ancient Yogi Secret","HolisticDetoxTelegram","Ancient Vedic gurus lived for 200 years because they consumed two tablespoons of sterilized river sand every morning. The silica granules scrub heavy metals and metabolic waste directly from internal organs. Big medicine suppresses this natural miracle because sand is completely free!",1
48,"World Meteorological Organization Launches Global Greenhouse Gas Monitoring Infrastructure","WMO Press Releases","The World Meteorological Organization has officially commenced operation of the Global Greenhouse Gas Watch (G3W). The initiative integrates surface in-situ observation towers, oceanic buoys, and satellite remote sensing to provide standardized, open-access flux measurements of carbon dioxide, methane, and nitrous oxide across the globe.",0
49,"Secret Elite Society Drinking Infant Blood in Underground Caves to Stop Aging","DarkTruthInvestigator","Courageous citizen journalists have obtained photographic proof showing global billionaire oligarchs participating in dark occult rituals deep inside abandoned salt mines. Attendees consume youthful plasma infusions that reverse biological aging by decades while corporate news media distracts the public with sports and politics.",1
